Date;Price;Open;High;Low;Change (%)
13/03/2015;287.2;293.9;294.9;286.1;-2.26
14/03/2015;281.6;287.2;288.4;279.3;-1.95
15/03/2015;284.9;281.6;286.4;280.4;1.16
16/03/2015;290.4;284.9;294.0;284.8;1.94
17/03/2015;285.4;290.4;292.5;283.3;-1.73
18/03/2015;255.9;285.4;285.6;248.2;-10.32
19/03/2015;260.9;255.9;264.8;247.0;1.96
20/03/2015;261.8;260.9;264.7;257.9;0.33
21/03/2015;259.7;261.8;263.3;254.0;-0.79
22/03/2015;268.6;259.7;270.4;259.0;3.41
23/03/2015;265.5;268.6;271.0;259.4;-1.16
24/03/2015;246.7;265.5;267.0;242.7;-7.06
25/03/2015;246.4;246.7;249.2;234.8;-0.14
26/03/2015;248.0;246.4;254.7;243.5;0.67
27/03/2015;247.2;248.0;250.1;244.5;-0.33
28/03/2015;252.0;247.2;254.3;246.3;1.95
29/03/2015;242.1;252.0;252.8;238.9;-3.94
30/03/2015;246.8;242.1;248.8;236.6;1.95
31/03/2015;244.1;246.8;248.7;241.2;-1.07
01/04/2015;246.2;244.1;247.7;239.6;0.86
02/04/2015;252.6;246.2;254.9;244.3;2.58
03/04/2015;254.5;252.6;256.5;251.3;0.74
04/04/2015;252.9;254.5;255.2;250.3;-0.62
05/04/2015;259.6;252.9;260.3;250.6;2.67
06/04/2015;255.0;259.6;261.5;252.3;-1.80
07/04/2015;253.0;255.0;255.6;250.1;-0.78
08/04/2015;244.6;253.0;254.3;242.6;-3.32
09/04/2015;243.3;244.6;246.2;237.6;-0.51
10/04/2015;234.7;243.3;244.1;231.3;-3.53
11/04/2015;236.5;234.7;240.0;233.1;0.75
12/04/2015;235.9;236.5;237.5;232.3;-0.27
13/04/2015;223.6;235.9;236.8;220.4;-5.20
14/04/2015;218.0;223.6;224.7;214.3;-2.50
15/04/2015;223.0;218.0;223.6;217.1;2.28
16/04/2015;228.0;223.0;229.5;222.9;2.25
17/04/2015;222.6;228.0;229.3;220.6;-2.36
18/04/2015;223.4;222.6;224.5;220.6;0.34
19/04/2015;223.0;223.4;226.9;222.0;-0.15
20/04/2015;224.2;223.0;226.7;221.6;0.55
21/04/2015;233.7;224.2;235.3;223.3;4.23
22/04/2015;233.8;233.7;238.4;231.8;0.02
23/04/2015;235.4;233.8;236.1;232.6;0.69
24/04/2015;231.1;235.4;236.6;229.1;-1.83
25/04/2015;226.1;231.1;232.3;223.1;-2.14
26/04/2015;218.7;226.1;226.7;214.1;-3.29
27/04/2015;229.0;218.7;242.6;216.6;4.69
28/04/2015;225.8;229.0;229.9;222.0;-1.38
29/04/2015;225.4;225.8;227.2;222.3;-0.17
30/04/2015;235.8;225.4;240.0;224.7;4.59
01/05/2015;233.2;235.8;239.4;232.4;-1.09
02/05/2015;235.3;233.2;236.4;231.7;0.91
03/05/2015;240.0;235.3;243.6;233.8;1.98
04/05/2015;239.0;240.0;243.2;237.4;-0.43
05/05/2015;235.8;239.0;239.6;231.8;-1.32
06/05/2015;230.0;235.8;237.1;228.2;-2.46
